vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
CMT,2011-05-12 19:55:55,2011-05-12 20:02:32,1,1.3,-73.988026,40.744376,1,N,-73.988017,40.729489,CRD,6.1,0.5,0.5,1.42,0.0,8.519999999999998
VTS,2011-05-15 12:20:00,2011-05-15 12:50:00,1,10.97,-73.874678,40.77405,1,,-73.94553999999998,40.663693,CSH,26.9,0.0,0.5,0.0,0.0,27.4
VTS,2011-05-15 13:02:00,2011-05-15 13:08:00,2,0.93,-73.987063,40.760703,1,,-73.991285,40.750223,CSH,4.9,0.0,0.5,0.0,0.0,5.4
CMT,2011-05-14 15:04:46,2011-05-14 15:24:22,1,2.4,-73.9906,40.733215,1,N,-73.98953,40.75673,CRD,11.7,0.0,0.5,2.44,0.0,14.64
CMT,2011-05-13 04:33:20,2011-05-13 04:49:11,1,9.3,-73.967268,40.760007,1,N,-73.86152099999998,40.76829,CRD,21.3,0.5,0.5,4.46,0.0,26.76
CMT,2011-05-13 04:57:00,2011-05-13 05:09:17,1,3.9,-73.908167,40.753233,1,N,-73.97263599999998,40.759137,CRD,11.3,0.5,0.5,3.07,0.0,15.37
CMT,2011-05-12 19:47:57,2011-05-12 19:59:37,2,3.1,-73.872805,40.774115,1,N,-73.910375,40.77636,CRD,10.1,1.0,0.5,2.32,0.0,13.92
CMT,2011-05-13 23:29:23,2011-05-13 23:38:15,4,1.8,-73.991515,40.743937,1,N,-73.988825,40.763848,CRD,7.3,0.5,0.5,2.07,0.0,10.37
VTS,2011-05-15 12:46:00,2011-05-15 13:04:00,5,3.47,-73.99038799999998,40.756418,1,,-74.00560299999998,40.715393,CSH,11.3,0.0,0.5,0.0,0.0,11.8
CMT,2011-05-12 19:48:05,2011-05-12 20:16:00,1,11.8,-73.88534099999998,40.773093,1,N,-74.00707699999998,40.70702,CRD,28.5,1.0,0.5,8.699999999999998,4.8,43.5
CMT,2011-05-13 23:23:28,2011-05-14 00:00:44,1,7.2,-73.97983,40.765423,1,N,-74.00023,40.686258,CRD,23.7,0.5,0.5,4.95,0.0,29.65
VTS,2011-05-15 19:59:00,2011-05-15 20:05:00,2,1.01,-73.97618199999998,40.777805,1,,-73.979163,40.767953,CSH,5.3,0.0,0.5,0.0,0.0,5.8
VTS,2011-05-15 12:38:00,2011-05-15 12:47:00,2,1.62,-73.972013,40.754748,1,,-73.990465,40.750807,CSH,7.3,0.0,0.5,0.0,0.0,7.8
VTS,2011-05-15 12:54:00,2011-05-15 13:03:00,5,2.6,-73.98053299999998,40.762488,1,,-73.995918,40.741092,CRD,8.5,0.0,0.5,1.8,0.0,10.8
CMT,2011-05-14 15:13:03,2011-05-14 15:27:20,1,1.5,-73.95654,40.771206,1,N,-73.965951,40.755436,CRD,9.3,0.0,0.5,1.0,0.0,10.8
VTS,2011-05-15 12:49:00,2011-05-15 12:58:00,2,1.82,-73.99031499999998,40.756565,1,,-73.978913,40.778355,CRD,7.3,0.0,0.5,2.0,0.0,9.8
CMT,2011-05-14 14:51:55,2011-05-14 14:54:47,2,0.4,-73.96614099999998,40.79478,1,N,-73.971726,40.79505,CRD,3.7,0.0,0.5,1.0,0.0,5.2
CMT,2011-05-13 23:33:31,2011-05-13 23:43:51,0,2.5,-73.999318,40.752162,1,N,-73.969313,40.767527,CRD,8.5,0.5,0.5,1.5,0.0,11.0
CMT,2011-05-12 16:04:21,2011-05-12 16:33:03,1,9.6,-73.981226,40.753683,1,N,-73.861689,40.768188,CRD,24.5,1.0,0.5,6.16,4.8,36.96
VTS,2011-05-15 12:57:00,2011-05-15 13:00:00,5,1.16,-73.961292,40.768555,1,,-73.952803,40.782442,CSH,4.9,0.0,0.5,0.0,0.0,5.4
CMT,2011-05-13 20:45:08,2011-05-13 20:53:11,1,1.5,-73.981217,40.75234,1,N,-73.979286,40.745089,CRD,6.5,0.5,0.5,1.5,0.0,9.0
